Region,Subregion,Country,City/station,PM10,PM 2.5,of monitoring stations,for air quality
AmrHI,AmrA,United States of America,"Laramie, WY",9,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Las Cruces, NM",25,15,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Las Vegas-Paradise, NV",20,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Laurel, MS",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lawrenceburg, TN",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lebanon, NH-VT",11,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lebanon, PA",24,14,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lewiston-Auburn, ME",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lexington-Fayette, KY",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lima, OH",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lincoln, NE",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Little Rock-North Little Rock-Conway, AR",19,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Logan, UT-ID",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Los Angeles-Long Beach-Santa Ana, CA",33,20,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Louisville/Jefferson County, KY-IN",22,13,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lumberton, NC",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Lynchburg, VA",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Macon, GA",19,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Madera, CA",27,16,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Madison, WI",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Manchester-Nashua, NH",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Marshall, MN",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Marshall, TX",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"McAlester, OK",19,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"McAllen-Edinburg-Mission, TX",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Medford, OR",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Memphis, TN-MS-AR",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Merced, CA",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Meridian, MS",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Miami-Fort Lauderdale-Pompano Beach, FL",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Michigan City-La Porte, IN",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Middlesborough, KY",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Milwaukee-Waukesha-West Allis, WI",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Minneapolis-St. Paul-Bloomington, MN-WI",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Missoula, MT",21,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Mobile, AL",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Modesto, CA",25,15,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Monroe, LA",22,13,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Monroe, MI",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Montgomery, AL",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Morgantown, WV",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Mount Vernon, IL",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Muncie, IN",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Muscatine, IA",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Muskegon-Norton Shores, MI",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Napa, CA",23,14,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Nashville-Davidson--Murfreesboro--Franklin, TN",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"New Castle, IN",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"New Haven-Milford, CT",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"New Orleans-Metairie-Kenner, LA",21,13,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"New York-Northern New Jersey-Long Island, NY-NJ-PA",23,14,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Niles-Benton Harbor, MI",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Nogales, AZ",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Norwich-New London, CT",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Ogden-Clearfield, UT",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Oklahoma City, OK",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Omaha-Council Bluffs, NE-IA",19,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Orlando-Kissimmee, FL",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Owensboro, KY",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Oxnard-Thousand Oaks-Ventura, CA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Paducah, KY-IL",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Palm Bay-Melbourne-Titusville, FL",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Parkersburg-Marietta-Vienna, WV-OH",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pascagoula, MS",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pendleton-Hermiston, OR",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pensacola-Ferry Pass-Brent, FL",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Peoria, IL",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",28,17,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Phoenix-Mesa-Scottsdale, AZ",26,16,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pittsburgh, PA",25,15,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pittsfield, MA",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Platteville, WI",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pocatello, ID",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Ponca City, OK",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Portland-South Portland-Biddeford, ME",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Portland-Vancouver-Beaverton, OR-WA",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Portsmouth, OH",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Poughkeepsie-Newburgh-Middletown, NY",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Prescott, AZ",7,4,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Prineville, OR",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Providence-New Bedford-Fall River, RI-MA",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Provo-Orem, UT",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Pueblo, CO",11,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Quincy, IL-MO",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Raleigh-Cary, NC",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rapid City, SD",11,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Reading, PA",19,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Red Bluff, CA",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Redding, CA",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Reno-Sparks, NV",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Richmond, VA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Richmond-Berea, KY",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Riverside-San Bernardino-Ontario, CA",34,21,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Riverton, WY",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Roanoke, VA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rochester, MN",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rochester, NY",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rock Springs, WY",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rockford, IL",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rocky Mount, NC",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rome, GA",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Russellville, AR",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Rutland, VT",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sacramento--Arden-Arcade--Roseville, CA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Salinas, CA",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Salisbury, NC",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Salt Lake City, UT",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"San Antonio, TX",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"San Diego-Carlsbad-San Marcos, CA",24,14,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"San Francisco-Oakland-Fremont, CA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"San Jose-Sunnyvale-Santa Clara, CA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"San Luis Obispo-Paso Robles, CA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Santa Barbara-Santa Maria-Goleta, CA",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Santa Cruz-Watsonville, CA",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Santa Fe, NM",8,5,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Santa Rosa-Petaluma, CA",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sault Ste. Marie, MI",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Savannah, GA",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Scottsbluff, NE",9,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Scranton--Wilkes-Barre, PA",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Seaford, DE",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Seattle-Tacoma-Bellevue, WA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sheridan, WY",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Shreveport-Bossier City, LA",26,16,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sierra Vista-Douglas, AZ",11,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sioux City, IA-NE-SD",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Sioux Falls, SD",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Somerset, KY",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"South Bend-Mishawaka, IN-MI",21,13,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Spartanburg, SC",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Spokane, WA",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Springfield, IL",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Springfield, MA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Springfield, MO",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Springfield, OH",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"St. Cloud, MN",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"St. George, UT",11,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"St. Joseph, MO-KS",20,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"St. Louis, MO-IL",22,13,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"State College, PA",19,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Stockton, CA",21,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Syracuse, NY",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Talladega-Sylacauga, AL",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tallahassee, FL",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tampa-St. Petersburg-Clearwater, FL",13,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Terre Haute, IN",19,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Texarkana, TX-Texarkana, AR",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Thomasville-Lexington, NC",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Toledo, OH",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Topeka, KS",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Torrington, CT",9,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Trenton-Ewing, NJ",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Truckee-Grass Valley, CA",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tucson, AZ",10,6,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tulsa, OK",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tupelo, MS",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Tuscaloosa, AL",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Ukiah, CA",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Valdosta, GA",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Vallejo-Fairfield, CA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Vernal, UT",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Virginia Beach-Norfolk-Newport News, VA-NC",14,8,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Visalia-Porterville, CA",25,15,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Warner Robins, GA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Washington-Arlington-Alexandria, DC-VA-MD-WV",19,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Waterloo-Cedar Falls, IA",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Watertown, SD",18,11,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Weirton-Steubenville, WV-OH",20,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Wenatchee, WA",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Wheeling, WV-OH",20,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Wichita, KS",16,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Wilmington, NC",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Winchester, VA-WV",16,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Winston-Salem, NC",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Worcester, MA",15,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Yakima, WA",17,10,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"York-Hanover, PA",20,12,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Youngstown-Warren-Boardman, OH-PA",23,14,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Yuba City, CA",12,7,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrA,United States of America,"Yuma, AZ",14,9,N/A,"US EPA Particulate Matter National Trends, US EPA, 2013."
AmrHI,AmrB,Uruguay,Montevideo,27,18,"2 stations for PM10, 1 station for PM2.5","Informe de calidad del aire, Año 2012. Informe annual. Servicio Evaluación de la Calidad y Control Ambiental. Intendencia de Montevideo."
Emr,EmrD,Afghanistan,Kabul - ISAF HQ,260,86,1 station: urban,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
Emr,EmrD,Afghanistan,Mazar-e Sharif - Camp Northern Lights ,334,68,1 station: urban outskirts,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
Emr,EmrD,Egypt,Cairo,135,73,"48 stations (8 industrial, 9 urban, 5 residential, 10 traffic, 4 remote, 12 mixed)",State of the Environment Report 2011 in Arabic
Emr,EmrD,Egypt,Delta cities,140,76,"13 stations (4 industrial, 4 urban, 2 residential, 1 remote, 2 mixed)",State of the Environment Report 2011 in Arabic
Emr,EmrB,Iran,Ahvaz,320,70,1 station (residential),"Shahsavani et al., The evaluation of PM10, PM2.5, and PM1 concentrations during the Middle Eastern
Dust (MED) events in Ahvaz, Iran, from april through september 2010, Journal of Arid Environments 77 (2012)"
Emr,EmrB,Iran,Khoramabad,121,102,"8 stations, covering the metropolis area","Mirhosseini et al., Analysis of Particulate matter (PM10 and PM2.5)
concentration in the City of Khoramabad,2nd International Conference on Chemical, Ecology and Environmental Sciences (ICCEES'2012) Singapore April 28-29, 2012"
Emr,EmrB,Iran,Tehran,91,30,7 stations with valid data: no information given about sites,"Naddafi et al., Health impact assessment of air pollution in
megacity of Tehran, Iran, Naddafi et al. Iranian Journal of Environmental Health Sciences & Engineering 2012, 9:28"
Emr,EmrB,Jordan,Amman,128,48,4 stations: 2 high and 2 low pollution areas,"Alnawaiseh et al., Relationship Between Vehicle
Count and Particulate Air
Pollution in Amman, Jordan"
Emr,EmrB,Lebanon,Beirut,63,20,3 stations in 1 city,"R. Massoud et al., Atmospheric Research 101 (2011), 893-901"
Emr,EmrB,Lebanon,Tripoli,81,29,01/2008-06/2008 (6 months), Tripoli Environment and Development Observatory (TEDO)
Emr,EmrD,Pakistan,Karachi ,273,117,"3 stations in various location: 1 unknown, 1 industrial/residential, 1 commercial/residential","Alam K, et al. Aerosol size distribution and mass concentration measurements in various cities of Pakistan, J. Environ. Monit., 2011, 13, 1944"
Emr,EmrD,Pakistan,Lahore - Johar Town,198,68,1 station: residential,"Alam K, et al. Aerosol size distribution and mass concentration measurements in various cities of Pakistan, J. Environ. Monit., 2011, 13, 1944"
Emr,EmrD,Pakistan,Peshwar,540,111,1 station: N/A,
Emr,EmrD,Pakistan,Rawalpindi,448,107,1 station: residential,
EmrHI,EmrB,Bahrain,Hamad Town,318,66,1 Residential urban station,"Supreme Council of Environment, 2013."
EmrHI,EmrB,Bahrain,Hidd,178,41,1 Residential urban station,"Supreme Council of Environment, 2013."
EmrHI,EmrB,Bahrain,Ma'ameer,257,64,1 Residential Industrial station (Mixed),"Supreme Council of Environment, 2013."
EmrHI,EmrB,Bahrain,Nabih Saleh,244,58,1 Urban background station,"Supreme Council of Environment, 2013."
EmrHI,EmrB,Bahrain,Ras Hayan,250,44,1 Rural background station,"Supreme Council of Environment, 2013."
EmrHI,EmrB,Oman,Muscat,82,31,"4 stations in 1 city: 1 commercial, 2 industrial, 1 unknown",Ministry of Environment and Climate Change
EmrHI,EmrB,Qatar,Al Wakrah,152,85,Mobile Station,International Health Relations/ Supreme Council for Health
EmrHI,EmrB,Qatar,Doha,168,93,3 stations,International Health Relations/ Supreme Council for Health
EmrHI,EmrB,Saudi Arabia,Jeddah,87,28,"7 stations: 3 residential, 3 urban and 1 suburban","Khoedir M, Source apportionment and elemental composition of PM2.5 and PM10 in Jeddah City, Saudi Arabia, Atmospheric Pollution Research 3 (2012) 331‐340"
EmrHI,EmrB,United Arab Emirates,Abu Dhabi,170,64,2 stations: 2 urban/residential,"Environmental Statistics 2011, SCAD"
EmrHI,EmrB,United Arab Emirates,Al Ain - Urban/ Residential -Al Ain School,138,52,1 station: urban/residential,"Environmental Statistics 2011, SCAD"
EmrHI,EmrB,United Arab Emirates,Al Gharbia - Biya Zayed,171,64,1 station: no information given,"Environmental Statistics 2011, SCAD"
Eur,EurC,Belarus,Gomel,19,13,1 urban station,European Environment Agency. AirBase: public air quality database - Air pollution. 
Eur,EurC,Belarus,Minsk ,26,17,1 urban station,European Environment Agency. AirBase: public air quality database - Air pollution. 
Eur,EurC,Belarus,Mogilev,20,13,1 urban station,European Environment Agency. AirBase: public air quality database - Air pollution. 
